NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.2228469149271646,0.07980898123473172,0.033538739008695646,0.7125054923418003,160.0,62.53240474065145
Alisson,28867.0,0.18980463528633115,0.061142039603995064,0.03220618212984687,0.5916363260786792,193.0,68.81026816368103
Abdoulaye Doucouré,15509.0,0.14747817182540893,0.03336338393426397,0.02344023132219308,0.44467068606891197,224.0,61.39054421583811
Kepa Arrizabalaga,51581.0,0.24388594150543205,0.08669050834421792,0.036711300339312504,-2.9171962463174457,160.0,63.45217561721802
Dele Alli,37046.0,0.17796899731953938,0.053108304473661806,0.029191433938951076,0.5068035033779715,221.0,52.54837465286255
Diego Llorente,46854.0,0.1766659202575684,0.05003185513847018,0.028816214389633964,0.4043973189937659,157.0,48.61820900440216
Jonas Lössl,15485.0,0.15868500280380252,0.04305498471377076,0.028160954967423706,0.4240024522702527,196.0,73.54913049936295
Gabriel Jesus,59481.0,0.2265988304615023,0.08547488808394238,0.03449954868308627,0.3708503984498435,182.0,56.400346636772156
Anwar El Ghazi,24473.0,0.16396289300918582,0.04476465593162017,0.02812365645519077,0.6590355623560104,196.0,68.00683629512787
Salomón Rondón,22689.0,0.17456282997131345,0.04591993337544774,0.02831351042034853,0.11923235699609616,196.0,57.842230439186096
