NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.18216780424118037,0.0662791157169772,0.028635274499842968,0.753763344865414,160.0,89.99569141864777
Alisson,28867.0,0.18370395819346116,0.057912645352487545,0.031742052705842246,0.6332903772400125,193.0,125.16716170310974
Abdoulaye Doucouré,15509.0,0.15758408126831053,0.037968064416969934,0.025103558954720086,0.3661307998763653,224.0,131.93562874794006
Kepa Arrizabalaga,51581.0,0.15373040580749514,0.04275432648337468,0.02635397644955542,0.6355113208222463,160.0,116.38971328735352
Dele Alli,37046.0,0.17418681831359864,0.05021703854348847,0.02869380075802521,0.5013897130904397,221.0,110.74583129882812
Diego Llorente,46854.0,0.16736351394653332,0.0459589754059246,0.02869440144708221,0.5005490669761181,157.0,143.09708857536316
Jonas Lössl,15485.0,0.14040511417388926,0.03259748281034968,0.024799835189073593,0.42519653407806296,196.0,107.43321808179219
Gabriel Jesus,59481.0,0.21220561726888007,0.06786410465418458,0.0332169030809832,0.21111846024285777,182.0,124.789084593455
Anwar El Ghazi,24473.0,0.16623953596750893,0.047104767018576875,0.028746872454536877,0.6509016569493803,196.0,89.27325558662415
Salomón Rondón,22689.0,0.18740192159016936,0.05476158497826808,0.030696132033891665,0.2581625793775614,196.0,142.3200458685557
