NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.22337218742370596,0.07719081311050464,0.03275550148496252,0.7082399931617301,160.0,52.58303580284119
Alisson,28867.0,0.19503830416997284,0.06213550935992886,0.03281615761737804,0.5271214771568052,193.0,41.095717231432594
Abdoulaye Doucouré,15509.0,0.1759556225538254,0.0477296177213236,0.02737552745139333,0.2270897659685225,224.0,61.85094636678696
Kepa Arrizabalaga,51581.0,0.18972654151916504,0.0563028266885484,0.030473645751076184,-0.7767617492461714,160.0,50.115886926651
Dele Alli,37046.0,0.1896796327829361,0.05550892093777818,0.02974448671344477,0.5419987369256531,221.0,46.17784705758095
Diego Llorente,46854.0,0.1982140417098998,0.061709850953056616,0.03169353790980459,0.06506578038883643,157.0,61.687477350234985
Jonas Lössl,15485.0,0.18561635557810463,0.05978852758007933,0.032866099654562386,0.3637192757208081,196.0,41.22973354657491
Gabriel Jesus,59481.0,0.23059273974100739,0.08624050023578739,0.03650864463437842,0.16317759609312296,182.0,41.13404874006907
Anwar El Ghazi,24473.0,0.17673495165507003,0.04885522486406719,0.029633116722459663,0.41713211779362586,196.0,68.80830645561218
Salomón Rondón,22689.0,0.19574421644210815,0.06116134692704752,0.032945523996514736,-0.0017287858700240817,196.0,41.08694199721018
