NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.2066117853164672,0.07027995493897368,0.03126871550259913,0.7348980518320161,160.0,66.09071044921875
Alisson,28867.0,0.1912337018648783,0.05937623834684975,0.03195201391673875,0.5619036324197331,193.0,54.82260684172312
Abdoulaye Doucouré,15509.0,0.20190465378761296,0.06152977332760387,0.030979145309192074,0.019133570646120146,224.0,46.38836333155632
Kepa Arrizabalaga,51581.0,0.13563739280700685,0.032762273248946504,0.024081656106210336,0.33395364053347787,160.0,66.06457643508911
Dele Alli,37046.0,0.18015217709541326,0.05106473185960303,0.02864981476872878,0.560165788011058,221.0,72.05911266803741
Diego Llorente,46854.0,0.18811278986930846,0.050124348608857,0.028850743897803222,0.17916020027072985,157.0,41.232692539691925
Jonas Lössl,15485.0,0.17691782919565835,0.05502537130323478,0.03172670895297436,0.37466672567796294,196.0,48.08257273832957
Gabriel Jesus,59481.0,0.2413592220942178,0.09060925596761209,0.03711074206657689,0.1324698816832,182.0,55.17436953385671
Anwar El Ghazi,24473.0,0.19176490243275957,0.05325460229112545,0.030901523992785323,0.397349405749647,196.0,54.937409003575645
Salomón Rondón,22689.0,0.20844253953297934,0.07005304730003893,0.03449947848119291,-0.08516465244091327,196.0,54.67115648587545
