NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.20945830368995655,0.06919666757201992,0.03156125604349756,0.7479463594008906,160.0,73.40602308511734
Alisson,28867.0,0.2244029184341434,0.08322851045070948,0.03776329695021535,0.45687951337868427,193.0,70.88771004676819
Abdoulaye Doucouré,15509.0,0.18059629835401264,0.0514614867010524,0.02772615527597023,0.30931132105897075,224.0,70.86734816006252
Kepa Arrizabalaga,51581.0,0.2024226295948028,0.06238322578212995,0.031972237954745776,-1.600679229430721,160.0,70.74010425806046
Dele Alli,37046.0,0.2176846414293562,0.06742363918772057,0.03297161903512055,0.3536220100686522,221.0,71.36762990270343
Diego Llorente,46854.0,0.1485926704406738,0.03534550825317473,0.02471259652262392,0.41155923350774953,157.0,75.9451133410136
Jonas Lössl,15485.0,0.18201079826354977,0.0590300644691021,0.03230632989639789,0.3178545563020617,196.0,77.58282785415649
Gabriel Jesus,59481.0,0.23263731975555416,0.08439317136504824,0.03582274059728329,0.236348419179774,182.0,77.87011041641236
Anwar El Ghazi,24473.0,0.16831062126159668,0.04327267041326506,0.027686001878441047,0.5392175122678264,196.0,71.90287609100342
Salomón Rondón,22689.0,0.160994602394104,0.04078255085862605,0.02667848304547212,0.3688291605195463,196.0,75.88188962936401
