NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.2159181826114653,0.07280523611617137,0.03246685311285647,0.731721027598466,160.0,63.01271069049835
Alisson,28867.0,0.19384287776947032,0.06354739589645841,0.03316800559147613,0.5876353600546166,193.0,59.70240302085877
Abdoulaye Doucouré,15509.0,0.21203118828364778,0.07108036667948256,0.031984133778039645,0.028202803162071226,224.0,60.87042079653059
Kepa Arrizabalaga,51581.0,0.20804081344604486,0.06609609593997862,0.032990911126389605,-1.2997715468519995,160.0,53.54174757003784
Dele Alli,37046.0,0.20329671205793112,0.06737523459957372,0.03218796484398503,0.45765577429795357,221.0,71.33203973088946
Diego Llorente,46854.0,0.15223729165395103,0.03796432361818251,0.02527951687995573,0.4078432674879837,157.0,82.21069184939067
Jonas Lössl,15485.0,0.17658431701660163,0.04960969284392438,0.03019260700455832,0.35836861117575913,196.0,46.40568623542786
Gabriel Jesus,59481.0,0.2244819812774656,0.07544285672359051,0.03442085938749784,0.29273119272041165,182.0,64.62171964645385
Anwar El Ghazi,24473.0,0.18172557621002192,0.051475880411179356,0.03046357435431617,0.4293308395737256,196.0,68.45976157188416
Salomón Rondón,22689.0,0.18662612266540526,0.05515090862135762,0.030335014963681194,0.11447396375131971,196.0,60.426451444625854
