NAME,ID,MAE,MSE,RMSLE,R2,LENGTH,TIME_PER_TRAIN
Emiliano Buendía,49180.0,0.19632334256172174,0.061254627516273905,0.02942207827420619,0.7708247887666159,160.0,94.26896649599075
Alisson,28867.0,0.19387585086822495,0.06104804235876886,0.03225118917238717,0.5843550751686138,193.0,79.27816853523254
Abdoulaye Doucouré,15509.0,0.2000447491237096,0.058756380943074116,0.03042630175543903,0.034691093508042066,224.0,76.9110997404371
Kepa Arrizabalaga,51581.0,0.18744588589668276,0.055583957078544646,0.030289994109694615,-0.9549779564895194,160.0,81.0530993938446
Dele Alli,37046.0,0.17677968406677244,0.04732407411990001,0.027661981068643572,0.5607457892788261,221.0,73.34711486952645
Diego Llorente,46854.0,0.16961836592356358,0.04632564771922687,0.028126188404500096,0.2675572997477035,157.0,62.69390360514323
Jonas Lössl,15485.0,0.1640899726867675,0.04361262620587917,0.028057466407378284,0.44928760521219085,196.0,76.50654888153076
Gabriel Jesus,59481.0,0.18970219802856433,0.06378469405903923,0.030988283431471197,0.4884315383019212,182.0,71.20529632568359
Anwar El Ghazi,24473.0,0.17112490253448492,0.044057315501969375,0.027904868609140772,0.5310137319331755,196.0,70.98679962158204
Salomón Rondón,22689.0,0.14362012844085686,0.03292344985203056,0.024119025628309188,0.4825903630665621,196.0,74.34485440254211
